MonoxidoDeCarbono,Fecha,Hora,ValorCarbono,Unidad,Ozono,Fecha,Hora,ValorOzono,Unidad,DioxidoDeNitrogeno,Fecha,Hora,ValorNitrogeno,Unidad
CO,01/04/2023,23:00 - 0:00,1.08,ppm,O3,01/04/2023,23:00 - 0:00,0.025,ppm,NO2,01/04/2023,23:00 - 0:00,0.028,ppm
CO,01/04/2023,0:00 - 1:00,1.05,ppm,O3,01/04/2023,0:00 - 1:00,0.03,ppm,NO2,01/04/2023,0:00 - 1:00,0.023,ppm
CO,01/04/2023,1:00 - 2:00,1.07,ppm,O3,01/04/2023,1:00 - 2:00,0.023,ppm,NO2,01/04/2023,1:00 - 2:00,0.026,ppm
CO,01/04/2023,2:00 - 3:00,1.12,ppm,O3,01/04/2023,2:00 - 3:00,0.018,ppm,NO2,01/04/2023,2:00 - 3:00,0.026,ppm
CO,01/04/2023,3:00 - 4:00,1.17,ppm,O3,01/04/2023,3:00 - 4:00,0.01,ppm,NO2,01/04/2023,3:00 - 4:00,0.032,ppm
CO,01/04/2023,4:00 - 5:00,1.25,ppm,O3,01/04/2023,4:00 - 5:00,0.005,ppm,NO2,01/04/2023,4:00 - 5:00,0.034,ppm
CO,01/04/2023,5:00 - 6:00,1.28,ppm,O3,01/04/2023,5:00 - 6:00,0.002,ppm,NO2,01/04/2023,5:00 - 6:00,0.031,ppm
CO,01/04/2023,6:00 - 7:00,1.41,ppm,O3,01/04/2023,6:00 - 7:00,0.003,ppm,NO2,01/04/2023,6:00 - 7:00,0.032,ppm
CO,01/04/2023,7:00 - 8:00,1.46,ppm,O3,01/04/2023,7:00 - 8:00,0.006,ppm,NO2,01/04/2023,7:00 - 8:00,0.037,ppm
CO,01/04/2023,8:00 - 9:00,1.5,ppm,O3,01/04/2023,8:00 - 9:00,0.012,ppm,NO2,01/04/2023,8:00 - 9:00,0.044,ppm
CO,01/04/2023,9:00 - 10:00,1.64,ppm,O3,01/04/2023,9:00 - 10:00,0.03,ppm,NO2,01/04/2023,9:00 - 10:00,0.045,ppm
CO,01/04/2023,10:00 - 11:00,1.47,ppm,O3,01/04/2023,10:00 - 11:00,0.054,ppm,NO2,01/04/2023,10:00 - 11:00,0.031,ppm
CO,01/04/2023,11:00 - 12:00,1.26,ppm,O3,01/04/2023,11:00 - 12:00,0.073,ppm,NO2,01/04/2023,11:00 - 12:00,0.023,ppm
CO,01/04/2023,12:00 - 13:00,1.07,ppm,O3,01/04/2023,12:00 - 13:00,0.07,ppm,NO2,01/04/2023,12:00 - 13:00,0.011,ppm
CO,01/04/2023,13:00 - 14:00,0.84,ppm,O3,01/04/2023,13:00 - 14:00,0.057,ppm,NO2,01/04/2023,13:00 - 14:00,0.008,ppm
CO,01/04/2023,14:00 - 15:00,0.74,ppm,O3,01/04/2023,14:00 - 15:00,0.057,ppm,NO2,01/04/2023,14:00 - 15:00,0.008,ppm
CO,01/04/2023,15:00 - 16:00,0.72,ppm,O3,01/04/2023,15:00 - 16:00,0.057,ppm,NO2,01/04/2023,15:00 - 16:00,0.008,ppm
CO,01/04/2023,16:00 - 17:00,0.73,ppm,O3,01/04/2023,16:00 - 17:00,0.055,ppm,NO2,01/04/2023,16:00 - 17:00,0.008,ppm
CO,01/04/2023,17:00 - 18:00,0.75,ppm,O3,01/04/2023,17:00 - 18:00,0.05,ppm,NO2,01/04/2023,17:00 - 18:00,0.012,ppm
